categoria,candidato,word,sim
ambiente,duque,conversatorio,0.0507
ambiente,duque,páramos,0.0846
ambiente,duque,amazonas,0.1285
ambiente,duque,decretos,0.1358
ambiente,duque,presidenciales,0.1945
ambiente,duque,atentados,0.2002
ambiente,duque,protagonismo,0.2348
ambiente,duque,conservando,0.2655
ambiente,duque,ilegal,0.2665
ambiente,duque,protege,0.3073
ambiente,duque,produciendo,0.3074
ambiente,duque,limpias,0.329
ambiente,duque,minería,0.3308
ambiente,duque,mercurio,0.3397
ambiente,duque,invertir,0.3545
ambiente,duque,capaz,0.3563
ambiente,duque,producir,0.3704
ambiente,duque,energías,0.3713
ambiente,duque,incertidumbre,0.3732
ambiente,duque,flora,0.39
ambiente,duque,acerca,0.3929
ambiente,duque,renovables,0.3992
ambiente,duque,fauna,0.4037
ambiente,duque,conciencia,0.4075
ambiente,duque,conservar,0.4126
ambiente,duque,cuidado,0.4458
ambiente,duque,ciencia,0.4623
ambiente,duque,biodiversidad,0.5442
ambiente,duque,protección,0.5455
ambiente,duque,medio,0.7639
ambiente,petro,ecopetrol,0
ambiente,petro,newsweek,0.0188
ambiente,petro,girón,0.0261
ambiente,petro,economist,0.0371
ambiente,petro,generadora,0.0841
ambiente,petro,energias,0.0984
ambiente,petro,live,0.1294
ambiente,petro,ignora,0.1386
ambiente,petro,manejado,0.1481
ambiente,petro,hice,0.1538
ambiente,petro,hagamos,0.1563
ambiente,petro,gratis,0.1964
ambiente,petro,economista,0.2011
ambiente,petro,veo,0.2128
ambiente,petro,embajada,0.2265
ambiente,petro,médicas,0.2285
ambiente,petro,paciente,0.2447
ambiente,petro,espectador,0.2453
ambiente,petro,hechas,0.2744
ambiente,petro,empieza,0.3056
ambiente,petro,breve,0.3215
ambiente,petro,gas,0.3219
ambiente,petro,intervención,0.3406
ambiente,petro,luego,0.3555
ambiente,petro,basado,0.4162
ambiente,petro,vista,0.4278
ambiente,petro,zonas,0.4459
ambiente,petro,tecnología,0.4696
ambiente,petro,medida,0.473
ambiente,petro,medio,0.7639
corrupción,duque,derrote,0
corrupción,duque,proponentes,0.0136
corrupción,duque,enfrentaremos,0.0266
corrupción,duque,vacilaciones,0.0839
corrupción,duque,ejemplares,0.0893
corrupción,duque,empoderar,0.0908
corrupción,duque,exprés,0.1041
corrupción,duque,endurecer,0.1391
corrupción,duque,extinción,0.1512
corrupción,duque,dominio,0.1997
corrupción,duque,politiquería,0.2036
corrupción,duque,liderar,0.2051
corrupción,duque,únicos,0.2053
