categoria,candidato,word,sim,fecha
vivienda,lasso,acceder,0.4696,16/3/2021
vivienda,lasso,creación,0.4133,17/3/2021
vivienda,lasso,empresas,0.3862,18/3/2021
vivienda,lasso,amazónicos,0.0153,19/3/2021
vivienda,lasso,lucharé,-0.0505,20/3/2021
vivienda,lasso,acceso,0.5376,1/1/2021
vivienda,lasso,gratuita,0.365,2/1/2021
vivienda,lasso,transversal,0.1605,3/1/2021
vivienda,lasso,mejorarán,0.0954,4/1/2021
vivienda,lasso,medica,0.0438,5/1/2021
vivienda,arauz,escolar,0.4422,16/3/2021
vivienda,arauz,afiliadas,0.1405,17/3/2021
vivienda,arauz,voluminosa,0.0987,18/3/2021
vivienda,arauz,pasito,0.0396,19/3/2021
vivienda,arauz,completita,-0.0162,20/3/2021
vivienda,arauz,fábrica,0.2925,1/1/2021
vivienda,arauz,describir,0.1867,2/1/2021
vivienda,arauz,combo,0.0421,3/1/2021
vivienda,arauz,recorrimos,0.0224,4/1/2021
vivienda,arauz,wray,0.0219,5/1/2021
violencia,lasso,niñas,0.5622,16/3/2021
violencia,lasso,mujer,0.5603,17/3/2021
violencia,lasso,género,0.4624,18/3/2021
violencia,lasso,sigan,0.3615,19/3/2021
violencia,lasso,imperdonable,0.1355,20/3/2021
violencia,lasso,maltrato,0.6549,1/1/2021
violencia,lasso,intrafamiliar,0.5978,2/1/2021
violencia,lasso,sucedido,0.3982,3/1/2021
violencia,lasso,condenamos,0.3562,4/1/2021
violencia,lasso,perpetuando,0.1004,5/1/2021
violencia,arauz,vive,0.4261,16/3/2021
violencia,arauz,destinando,0.0745,17/3/2021
violencia,arauz,sacrificado,0.0735,18/3/2021
violencia,arauz,ambato,-0.0037,19/3/2021
violencia,arauz,reactivemos,-0.1853,20/3/2021
violencia,arauz,eliminación,0.4021,1/1/2021
violencia,arauz,mendicidad,0.2988,2/1/2021
violencia,arauz,envío,0.2462,3/1/2021
violencia,arauz,interculturalidad,0.1666,4/1/2021
violencia,arauz,plurinacional,0.001,5/1/2021
trabajo,lasso,esfuerzo,0.6135,16/3/2021
trabajo,lasso,gestión,0.5175,17/3/2021
trabajo,lasso,confianza,0.4647,18/3/2021
trabajo,lasso,valoramos,0.1943,19/3/2021
trabajo,lasso,honraremos,-0.1426,20/3/2021
trabajo,lasso,trabajar,0.7207,1/1/2021
trabajo,lasso,empleo,0.6829,2/1/2021
trabajo,lasso,esfuerzo,0.6135,3/1/2021
trabajo,lasso,dedicación,0.4966,4/1/2021
trabajo,lasso,invaluable,0.1399,5/1/2021
trabajo,arauz,mantener,0.5505,16/3/2021
trabajo,arauz,jóvenes,0.519,17/3/2021
trabajo,arauz,campo,0.5049,18/3/2021
trabajo,arauz,vuelva,0.3221,19/3/2021
trabajo,arauz,privilegia,0.0935,20/3/2021
trabajo,arauz,futuro,0.5162,1/1/2021
trabajo,arauz,digno,0.4351,2/1/2021
trabajo,arauz,juntos,0.4155,3/1/2021
trabajo,arauz,recuperar,0.3989,4/1/2021
trabajo,arauz,dignidad,0.3653,5/1/2021
salud,lasso,garantizar,0.5266,16/3/2021
salud,lasso,incluidos,0.4993,17/3/2021
salud,lasso,prioridad,0.4485,18/3/2021
salud,lasso,olvidamos,0.0224,19/3/2021
salud,lasso,logarlo,-0.0987,20/3/2021
salud,lasso,centros,0.5818,1/1/2021
salud,lasso,dispensarios,0.4369,2/1/2021
salud,lasso,laboratorios,0.3305,3/1/2021
salud,lasso,equipar,0.1709,4/1/2021
salud,lasso,esforzamos,0.0722,5/1/2021
salud,arauz,mantener,0.4501,16/3/2021
salud,arauz,prioridad,0.4485,17/3/2021
salud,arauz,listo,0.2695,18/3/2021
salud,arauz,sacrificio,0.2362,19/3/2021
salud,arauz,desprotegida,0.0216,20/3/2021
salud,arauz,fundamental,0.4549,1/1/2021
salud,arauz,defender,0.3328,2/1/2021
salud,arauz,comprometido,0.2982,3/1/2021
salud,arauz,victoria,0.2718,4/1/2021
salud,arauz,cayambe,0.002,5/1/2021
pobreza,lasso,desnutrición,0.5812,16/3/2021
pobreza,lasso,casas,0.2789,17/3/2021
pobreza,lasso,vender,0.1983,18/3/2021
pobreza,lasso,conversamos,-0.0273,19/3/2021
pobreza,lasso,elijas,-0.0872,20/3/2021
pobreza,lasso,disminuir,0.4489,1/1/2021
pobreza,lasso,herramienta,0.2828,2/1/2021
pobreza,lasso,enemigo,0.25,3/1/2021
pobreza,lasso,material,0.2036,4/1/2021
pobreza,lasso,creacion,0.0343,5/1/2021
pobreza,arauz,pretende,0.3089,16/3/2021
pobreza,arauz,intentos,0.2461,17/3/2021
pobreza,arauz,comerciantes,0.1666,18/3/2021
pobreza,arauz,licencia,0.1472,19/3/2021
pobreza,arauz,abuela,0.1461,20/3/2021
pobreza,arauz,vivimos,0.3384,1/1/2021
pobreza,arauz,mantenimiento,0.297,2/1/2021
pobreza,arauz,inmoral,0.1454,3/1/2021
pobreza,arauz,unirnos,0.1023,4/1/2021
pobreza,arauz,plop,-0.0439,5/1/2021
juventud,lasso,ciudades,0.3591,16/3/2021
juventud,lasso,construcción,0.3281,17/3/2021
juventud,lasso,salas,0.2132,18/3/2021
juventud,lasso,impulse,0.1469,19/3/2021
juventud,lasso,generadores,0.0394,20/3/2021
juventud,lasso,académica,0.3962,1/1/2021
juventud,lasso,construir,0.2768,2/1/2021
juventud,lasso,trinchera,0.0996,3/1/2021
juventud,lasso,soñamos,0.0061,4/1/2021
juventud,lasso,adentrarme,-0.04,5/1/2021
juventud,arauz,llamaron,0.2393,16/3/2021
juventud,arauz,puente,0.2281,17/3/2021
juventud,arauz,almuerzo,0.1283,18/3/2021
juventud,arauz,caducas,0.0438,19/3/2021
juventud,arauz,borrará,0.0092,20/3/2021
juventud,arauz,recorrido,0.2761,1/1/2021
juventud,arauz,transmisión,0.2688,2/1/2021
juventud,arauz,sentimos,0.1708,3/1/2021
juventud,arauz,conéctate,0.018,4/1/2021
