categoria,candidato,word,sim,fecha
vivienda,lasso,acceder,0.4696,2021-03-16
vivienda,lasso,creación,0.4133,2021-03-17
vivienda,lasso,empresas,0.3862,2021-03-18
vivienda,lasso,amazónicos,0.0153,2021-03-19
vivienda,lasso,lucharé,-0.0505,2021-03-20
vivienda,lasso,acceso,0.5376,2021-01-01
vivienda,lasso,gratuita,0.365,2021-01-02
vivienda,lasso,transversal,0.1605,2021-01-03
vivienda,lasso,mejorarán,0.0954,2021-01-04
vivienda,lasso,medica,0.0438,2021-01-05
vivienda,arauz,escolar,0.4422,2021-03-16
vivienda,arauz,afiliadas,0.1405,2021-03-17
vivienda,arauz,voluminosa,0.0987,2021-03-18
vivienda,arauz,pasito,0.0396,2021-03-19
vivienda,arauz,completita,-0.0162,2021-03-20
vivienda,arauz,fábrica,0.2925,2021-01-01
vivienda,arauz,describir,0.1867,2021-01-02
vivienda,arauz,combo,0.0421,2021-01-03
vivienda,arauz,recorrimos,0.0224,2021-01-04
vivienda,arauz,wray,0.0219,2021-01-05
violencia,lasso,niñas,0.5622,2021-03-16
violencia,lasso,mujer,0.5603,2021-03-17
violencia,lasso,género,0.4624,2021-03-18
violencia,lasso,sigan,0.3615,2021-03-19
violencia,lasso,imperdonable,0.1355,2021-03-20
violencia,lasso,maltrato,0.6549,2021-01-01
violencia,lasso,intrafamiliar,0.5978,2021-01-02
violencia,lasso,sucedido,0.3982,2021-01-03
violencia,lasso,condenamos,0.3562,2021-01-04
violencia,lasso,perpetuando,0.1004,2021-01-05
violencia,arauz,vive,0.4261,2021-03-16
violencia,arauz,destinando,0.0745,2021-03-17
violencia,arauz,sacrificado,0.0735,2021-03-18
violencia,arauz,ambato,-0.0037,2021-03-19
violencia,arauz,reactivemos,-0.1853,2021-03-20
violencia,arauz,eliminación,0.4021,2021-01-01
violencia,arauz,mendicidad,0.2988,2021-01-02
violencia,arauz,envío,0.2462,2021-01-03
violencia,arauz,interculturalidad,0.1666,2021-01-04
violencia,arauz,plurinacional,0.001,2021-01-05
trabajo,lasso,esfuerzo,0.6135,2021-03-16
trabajo,lasso,gestión,0.5175,2021-03-17
trabajo,lasso,confianza,0.4647,2021-03-18
trabajo,lasso,valoramos,0.1943,2021-03-19
trabajo,lasso,honraremos,-0.1426,2021-03-20
trabajo,lasso,trabajar,0.7207,2021-01-01
trabajo,lasso,empleo,0.6829,2021-01-02
trabajo,lasso,esfuerzo,0.6135,2021-01-03
trabajo,lasso,dedicación,0.4966,2021-01-04
trabajo,lasso,invaluable,0.1399,2021-01-05
trabajo,arauz,mantener,0.5505,2021-03-16
trabajo,arauz,jóvenes,0.519,2021-03-17
trabajo,arauz,campo,0.5049,2021-03-18
trabajo,arauz,vuelva,0.3221,2021-03-19
trabajo,arauz,privilegia,0.0935,2021-03-20
trabajo,arauz,futuro,0.5162,2021-01-01
trabajo,arauz,digno,0.4351,2021-01-02
trabajo,arauz,juntos,0.4155,2021-01-03
trabajo,arauz,recuperar,0.3989,2021-01-04
trabajo,arauz,dignidad,0.3653,2021-01-05
salud,lasso,garantizar,0.5266,2021-03-16
salud,lasso,incluidos,0.4993,2021-03-17
salud,lasso,prioridad,0.4485,2021-03-18
salud,lasso,olvidamos,0.0224,2021-03-19
salud,lasso,logarlo,-0.0987,2021-03-20
salud,lasso,centros,0.5818,2021-01-01
salud,lasso,dispensarios,0.4369,2021-01-02
salud,lasso,laboratorios,0.3305,2021-01-03
salud,lasso,equipar,0.1709,2021-01-04
salud,lasso,esforzamos,0.0722,2021-01-05
salud,arauz,mantener,0.4501,2021-03-16
salud,arauz,prioridad,0.4485,2021-03-17
salud,arauz,listo,0.2695,2021-03-18
salud,arauz,sacrificio,0.2362,2021-03-19
salud,arauz,desprotegida,0.0216,2021-03-20
salud,arauz,fundamental,0.4549,2021-01-01
salud,arauz,defender,0.3328,2021-01-02
salud,arauz,comprometido,0.2982,2021-01-03
salud,arauz,victoria,0.2718,2021-01-04
salud,arauz,cayambe,0.002,2021-01-05
pobreza,lasso,desnutrición,0.5812,2021-03-16
pobreza,lasso,casas,0.2789,2021-03-17
pobreza,lasso,vender,0.1983,2021-03-18
pobreza,lasso,conversamos,-0.0273,2021-03-19
pobreza,lasso,elijas,-0.0872,2021-03-20
pobreza,lasso,disminuir,0.4489,2021-01-01
pobreza,lasso,herramienta,0.2828,2021-01-02
pobreza,lasso,enemigo,0.25,2021-01-03
pobreza,lasso,material,0.2036,2021-01-04
pobreza,lasso,creacion,0.0343,2021-01-05
pobreza,arauz,pretende,0.3089,2021-03-16
pobreza,arauz,intentos,0.2461,2021-03-17
pobreza,arauz,comerciantes,0.1666,2021-03-18
pobreza,arauz,licencia,0.1472,2021-03-19
pobreza,arauz,abuela,0.1461,2021-03-20
